GHS	CARGO 	SETOR	DESCRIÇÃO
01SP2	SUPERVISOR DE BACKBONE	SUPERVISÃO OPERACIONAL	Supervisiona todas as atividades exercidas na área de BACKBONE, estrutura, organiza, orienta, dimensiona, cobra, acompanha, presta suporte técnico através de: acompanhamentos e relatórios específicos, garantindo a eficácia do serviço executado pela equipe e o cumprimento de metas
01SP2	SUPERVISOR DE COBRE	SUPERVISÃO OPERACIONAL	Supervisiona todas as atividades exercidas na área de COBRE, estrutura, organiza, orienta, dimensiona, cobra, acompanha, presta suporte técnico através de: acompanhamentos e relatórios específicos, garantindo a eficácia do serviço executado pela equipe e o cumprimento de metas
01SP2	SUPERVISOR DE FTTX	SUPERVISÃO OPERACIONAL	Supervisiona todas as atividades exercidas na área de FTTX, estrutura, organiza, orienta, dimensiona, cobra, acompanha, presta suporte técnico através de: acompanhamentos e relatórios específicos, garantindo a eficácia do serviço executado pela equipe e o cumprimento de metas
01SP2	SUPERVISOR DE LP	SUPERVISÃO OPERACIONAL	Supervisiona todas as atividades exercidas na área de LP, estrutura, organiza, orienta, dimensiona, cobra, acompanha, presta suporte técnico através de: acompanhamentos e relatórios específicos, garantindo a eficácia do serviço executado pela equipe e o cumprimento de metas
01SP21	COORDENADOR DE LOGISTICA	SUPERVISÃO ALMOXARIFADO	Coordena os processos de logística, realiza gestão do centro de distribuição em armazém, estratégia, planejamento, recebimento, armazenamento e expedição de materiais. Realiza o acompanhamento dos indicadores de desempenho dos processos e atendimentos em um todo.
01SP21	GERENTE DE LOGISTICA	SUPERVISÃO ALMOXARIFADO	Realiza controle dos ativos, cria ideias para melhoria continua, projeta sistemas de controle e up grade para os sistemas de controle, organiza o setor, atenção para redução de custos, contata clientes e fornecedores, participa das negociações de contratos, fecha inventários internos e externos
01SP21	LIDER DE ALMOX	SUPERVISÃO ALMOXARIFADO	Monitora atividades, entrega de compras de materiais e equipamentos da empresa. Cumprimento das normas do Sistema Integrado de Gestão e procedimentos adotados pela área, desenvolve estratégias para armazenagem e distribuição de produtos. Acompanha indicadores de desempenho operacional, transporte e elabora planilhas de controle.
01SP22	APRENDIZ T	FTTA-A	Apoio aos técnicos nas atividades de instalação e manutenção de sistemas, acompanhando os processos e aprendendo sobre as práticas da área; Acompanhar os técnicos em campo, observando e colaborando com as rotinas operacionais; Auxiliar na organização e controle de ferramentas e materiais utilizados nas atividades técnicas.
01SP23	ESPECIALISTA EM TELECOM I	INSTALADORES DE  EQUIPAMENTOS B2B	Executa os serviços de instalação de equipamentos de telecomunicações de alta complexidade em Centrais Telefônicas e clientes (Modem Óptico, Interligações Ópticas e Elétrica, Switch, SDH, DSLAM, DWDM, GPON, roteadores, infraestrutura, rádio e demais equipamentos de TX). Elaboração de relatórios, laudos, atas de aceitação, PPI's e PDI's, presta suporte operacional para os demais integrantes da equipe 
01SP23	ESPECIALISTA EM TELECOM II	INSTALADORES DE  EQUIPAMENTOS B2B	Executa os serviços de instalação de equipamentos de telecomunicações de alta complexidade em Centrais Telefônicas e clientes (Modem Óptico, Interligações Ópticas e Elétrica, Switch, SDH, DSLAM, DWDM, GPON, roteadores, infraestrutura, rádio e demais equipamentos de TX). Elaboração de relatórios, laudos, atas de aceitação, PPI's e PDI's, presta suporte operacional para os demais integrantes da equipe 
